sec,Volt,sec,ch1
DataType	DisplayMode	Points	Count	Xincrement	Xorigin	Xreference	Yincrement	Yorigin	Yreference	Channel	
5	1	600	2	0,000004	0,00056000005942	0	0,0004	0,0316	100	1
point	ch1
0	24
1	29
2	27
3	24
4	22
5	25
6	27
7	23
8	23
9	25
10	25
11	22
12	21
13	23
14	22
15	25
16	22
17	21
18	22
19	24
20	21
21	23
22	24
23	21
24	24
25	20
26	24
27	20
28	21
29	25
30	22
31	24
32	22
33	24
34	22
35	24
36	20
37	24
38	21
39	25
40	22
41	23
42	21
43	25
44	23
45	20
46	22
47	19
48	22
49	25
50	23
51	19
52	20
53	24
54	23
55	21
56	25
57	21
58	22
59	25
60	22
61	23
62	24
63	21
64	22
65	24
66	24
67	22
68	23
69	21
70	22
71	26
72	24
73	27
74	25
75	29
76	25
77	32
78	33
79	37
80	39
81	42
82	39
83	34
84	33
85	36
86	35
87	39
88	40
89	36
90	36
91	30
92	32
93	25
94	28
95	25
96	25
97	26
98	25
99	24
100	25
101	27
102	26
103	29
104	25
105	29
106	29
107	33
108	32
109	36
110	36
111	46
112	49
113	87
114	91
115	118
116	121
117	133
118	129
119	125
120	125
121	108
122	104
123	91
124	90
125	77
126	76
127	59
128	60
129	46
130	46
131	41
132	40
133	36
134	34
135	36
136	36
137	33
138	35
139	31
140	33
141	36
142	35
143	42
144	42
145	38
146	43
147	52
148	54
149	100
150	105
151	127
152	128
153	120
154	120
155	111
156	110
157	89
158	87
159	77
160	77
161	62
162	61
163	50
164	50
165	41
166	42
167	38
168	39
169	34
170	34
171	31
172	33
173	30
174	33
175	36
176	33
177	39
178	40
179	36
180	42
181	37
182	38
183	40
184	39
185	35
186	43
187	36
188	34
189	29
190	29
191	33
192	35
193	31
194	33
195	28
196	28
197	26
198	29
199	25
200	27
201	25
202	22
203	26
204	22
205	25
206	26
207	21
208	19
209	24
210	22
211	25
212	22
213	25
214	23
215	21
216	25
217	21
218	22
219	23
220	22
221	19
222	23
223	21
224	22
225	25
226	23
227	20
228	20
229	24
230	24
231	20
232	20
233	22
234	23
235	19
236	22
237	25
238	22
239	18
240	23
241	19
242	22
243	18
244	20
245	21
246	18
247	22
248	22
249	20
250	22
251	19
252	22
253	18
254	22
255	19
256	22
257	20
258	23
259	19
260	18
261	22
262	23
263	21
264	25
265	21
266	22
267	23
268	21
269	24
270	24
271	22
272	21
273	23
274	22
275	20
276	23
277	20
278	20
279	22
280	20
281	22
282	22
283	20
284	18
285	22
286	18
287	22
288	19
289	23
290	19
291	21
292	19
293	21
294	20
295	23
296	19
297	22
298	22
299	20
300	22
301	19
302	23
303	21
304	20
305	23
306	23
307	22
308	22
309	25
310	22
311	25
312	22
313	24
314	24
315	20
316	22
317	20
318	20
319	23
320	22
321	18
322	22
323	18
324	19
325	22
326	19
327	22
328	22
329	19
330	21
331	19
332	21
333	18
334	19
335	22
336	17
337	21
338	19
339	22
340	19
341	21
342	23
343	19
344	20
345	22
346	22
347	18
348	21
349	19
350	19
351	23
352	22
353	18
354	19
355	22
356	21
357	18
358	18
359	22
360	22
361	20
362	21
363	18
364	19
365	22
366	22
367	19
368	18
369	22
370	22
371	18
372	21
373	17
374	21
375	18
376	21
377	24
378	18
379	22
380	22
381	21
382	21
383	25
384	23
385	25
386	24
387	26
388	24
389	26
390	24
391	29
392	29
393	43
394	45
395	40
396	42
397	39
398	38
399	43
400	45
401	40
402	41
403	43
404	40
405	33
406	33
407	27
408	30
409	26
410	29
411	24
412	25
413	27
414	26
415	22
416	23
417	26
418	25
419	24
420	23
421	25
422	23
423	26
424	26
425	30
426	30
427	34
428	33
429	40
430	40
431	61
432	64
433	104
434	109
435	127
436	128
437	123
438	126
439	108
440	103
441	93
442	93
443	83
444	83
445	64
446	63
447	53
448	53
449	46
450	44
451	40
452	40
453	35
454	36
455	33
456	34
457	32
458	33
459	34
460	35
461	33
462	35
463	39
464	37
465	42
466	41
467	44
468	43
469	60
470	63
471	103
472	107
473	129
474	125
475	132
476	134
477	121
478	119
479	95
480	90
481	80
482	81
483	62
484	61
485	47
486	44
487	40
488	39
489	34
490	35
491	32
492	35
493	32
494	29
495	33
496	33
497	39
498	37
499	34
500	36
501	43
502	36
503	40
504	37
505	30
506	31
507	33
508	36
509	32
510	35
511	31
512	30
513	24
514	25
515	28
516	28
517	22
518	21
519	23
520	24
521	21
522	19
523	24
524	23
525	20
526	22
527	23
528	22
529	18
530	18
531	22
532	23
533	18
534	19
535	22
536	21
537	18
538	19
539	21
540	19
541	21
542	22
543	18
544	18
545	22
546	18
547	21
548	18
549	22
550	18
551	22
552	18
553	22
554	21
555	18
556	18
557	22
558	22
559	19
560	22
561	19
562	19
563	17
564	20
565	22
566	18
567	20
568	20
569	18
570	21
571	19
572	18
573	21
574	21
575	18
576	17
577	20
578	21
579	18
580	19
581	22
582	22
583	19
584	22
585	19
586	22
587	19
588	22
589	19
590	18
591	23
592	21
593	15
594	15
595	21
596	20
597	17
598	18
599	21

