sec,Volt,sec,ch1
DataType	DisplayMode	Points	Count	Xincrement	Xorigin	Xreference	Yincrement	Yorigin	Yreference	Channel	
5	1	600	2	0,000004	0,00079200005942	0	0,002	0,19	100	1
point	ch1
0	7
1	7
2	7
3	6
4	7
5	6
6	6
7	7
8	6
9	8
10	6
11	7
12	7
13	6
14	7
15	6
16	7
17	6
18	6
19	8
20	7
21	6
22	7
23	6
24	7
25	6
26	7
27	6
28	6
29	7
30	7
31	6
32	6
33	7
34	7
35	8
36	7
37	8
38	7
39	8
40	7
41	7
42	8
43	6
44	6
45	8
46	8
47	6
48	7
49	8
50	8
51	7
52	8
53	7
54	7
55	8
56	7
57	8
58	7
59	8
60	8
61	8
62	8
63	8
64	8
65	8
66	8
67	9
68	8
69	9
70	9
71	11
72	11
73	12
74	12
75	15
76	16
77	21
78	22
79	33
80	35
81	67
82	72
83	96
84	97
85	103
86	102
87	93
88	91
89	69
90	68
91	50
92	49
93	35
94	34
95	28
96	26
97	21
98	21
99	18
100	17
101	15
102	15
103	13
104	13
105	11
106	11
107	11
108	11
109	10
110	11
111	9
112	10
113	8
114	10
115	8
116	8
117	10
118	9
119	8
120	8
121	9
122	9
123	8
124	8
125	8
126	8
127	8
128	8
129	8
130	8
131	8
132	7
133	8
134	7
135	8
136	8
137	7
138	8
139	7
140	8
141	7
142	8
143	7
144	7
145	8
146	8
147	7
148	8
149	7
150	7
151	8
152	8
153	8
154	8
155	7
156	8
157	7
158	8
159	8
160	8
161	8
162	8
163	8
164	8
165	8
166	8
167	9
168	8
169	10
170	9
171	11
172	10
173	11
174	11
175	15
176	14
177	22
178	23
179	43
180	45
181	62
182	63
183	68
184	68
185	65
186	65
187	58
188	56
189	47
190	46
191	36
192	35
193	28
194	28
195	22
196	22
197	17
198	17
199	15
200	14
201	12
202	12
203	11
204	11
205	10
206	10
207	9
208	10
209	8
210	9
211	8
212	8
213	8
214	8
215	8
216	8
217	8
218	8
219	7
220	8
221	8
222	8
223	7
224	8
225	7
226	8
227	7
228	7
229	8
230	7
231	8
232	8
233	7
234	8
235	7
236	8
237	7
238	7
239	8
240	7
241	8
242	7
243	8
244	8
245	6
246	8
247	6
248	7
249	6
250	7
251	6
252	6
253	8
254	8
255	6
256	7
257	6
258	7
259	7
260	7
261	6
262	6
263	7
264	6
265	7
266	7
267	6
268	7
269	5
270	7
271	6
272	6
273	7
274	7
275	6
276	7
277	6
278	7
279	5
280	7
281	6
282	6
283	7
284	7
285	6
286	6
287	7
288	6
289	7
290	7
291	6
292	5
293	7
294	6
295	7
296	6
297	7
298	7
299	5
300	6
301	7
302	6
303	6
304	6
305	7
306	6
307	7
308	7
309	5
310	5
311	7
312	7
313	5
314	6
315	7
316	7
317	5
318	7
319	5
320	7
321	6
322	6
323	7
324	7
325	6
326	6
327	7
328	6
329	7
330	7
331	5
332	6
333	7
334	6
335	7
336	7
337	6
338	7
339	6
340	6
341	7
342	7
343	5
344	6
345	7
346	6
347	7
348	7
349	5
350	7
351	6
352	7
353	6
354	7
355	6
356	7
357	6
358	7
359	7
360	7
361	6
362	6
363	7
364	7
365	8
366	7
367	6
368	7
369	7
370	6
371	8
372	6
373	7
374	7
375	6
376	6
377	8
378	6
379	8
380	7
381	8
382	7
383	8
384	8
385	8
386	8
387	8
388	8
389	8
390	8
391	8
392	8
393	9
394	9
395	10
396	11
397	10
398	11
399	14
400	14
401	17
402	18
403	25
404	26
405	52
406	56
407	86
408	89
409	102
410	103
411	100
412	99
413	86
414	85
415	66
416	64
417	50
418	50
419	39
420	37
421	29
422	28
423	22
424	21
425	18
426	18
427	15
428	15
429	13
430	13
431	11
432	11
433	11
434	11
435	10
436	9
437	11
438	9
439	9
440	10
441	8
442	8
443	9
444	8
445	8
446	8
447	9
448	8
449	8
450	8
451	8
452	8
453	8
454	8
455	8
456	8
457	8
458	8
459	7
460	8
461	7
462	8
463	6
464	8
465	7
466	7
467	8
468	7
469	8
470	8
471	7
472	7
473	8
474	8
475	6
476	8
477	7
478	8
479	6
480	7
481	8
482	8
483	7
484	8
485	8
486	8
487	7
488	8
489	8
490	8
491	8
492	8
493	9
494	8
495	9
496	9
497	11
498	11
499	15
500	15
501	22
502	24
503	45
504	47
505	64
506	64
507	68
508	68
509	62
510	61
511	50
512	49
513	39
514	38
515	28
516	28
517	22
518	22
519	18
520	17
521	15
522	15
523	11
524	12
525	11
526	11
527	10
528	10
529	8
530	9
531	8
532	8
533	8
534	8
535	8
536	8
537	7
538	8
539	8
540	8
541	7
542	8
543	7
544	8
545	6
546	8
547	6
548	7
549	8
550	7
551	8
552	8
553	7
554	8
555	7
556	7
557	8
558	7
559	6
560	7
561	6
562	6
563	7
564	7
565	6
566	7
567	6
568	8
569	6
570	6
571	5
572	6
573	7
574	6
575	7
576	7
577	6
578	6
579	7
580	5
581	7
582	6
583	6
584	7
585	5
586	7
587	6
588	6
589	7
590	6
591	7
592	7
593	5
594	5
595	7
596	6
597	7
598	5
599	7

