sec,Volt,sec,ch1
DataType	DisplayMode	Points	Count	Xincrement	Xorigin	Xreference	Yincrement	Yorigin	Yreference	Channel	
5	1	600	2	0,000004	0,0014640000594	0	0,0002	0,0158	100	1
point	ch1
0	20
1	15
2	22
3	15
4	18
5	10
6	15
7	19
8	9
9	17
10	21
11	11
12	11
13	17
14	18
15	13
16	11
17	19
18	11
19	19
20	15
21	18
22	16
23	19
24	18
25	16
26	16
27	19
28	18
29	12
30	17
31	9
32	16
33	8
34	17
35	11
36	12
37	18
38	13
39	6
40	11
41	17
42	8
43	18
44	18
45	12
46	8
47	18
48	15
49	8
50	10
51	15
52	15
53	11
54	12
55	16
56	17
57	11
58	15
59	12
60	16
61	11
62	8
63	16
64	8
65	16
66	15
67	8
68	11
69	18
70	17
71	10
72	11
73	16
74	15
75	11
76	15
77	11
78	17
79	11
80	12
81	18
82	16
83	21
84	18
85	32
86	32
87	41
88	36
89	40
90	38
91	45
92	42
93	36
94	36
95	40
96	33
97	47
98	48
99	41
100	47
101	40
102	43
103	39
104	48
105	41
106	40
107	33
108	36
109	32
110	36
111	26
112	32
113	22
114	27
115	22
116	22
117	34
118	34
119	43
120	50
121	61
122	65
123	68
124	68
125	60
126	58
127	54
128	58
129	49
130	50
131	75
132	76
133	68
134	67
135	83
136	76
137	59
138	61
139	69
140	64
141	54
142	50
143	47
144	50
145	40
146	43
147	34
148	38
149	51
150	54
151	72
152	71
153	75
154	72
155	79
156	79
157	75
158	75
159	68
160	70
161	62
162	65
163	56
164	57
165	53
166	50
167	47
168	46
169	30
170	29
171	24
172	19
173	29
174	28
175	24
176	28
177	21
178	23
179	19
180	22
181	33
182	33
183	44
184	44
185	54
186	50
187	46
188	50
189	42
190	50
191	43
192	43
193	54
194	52
195	40
196	39
197	28
198	29
199	22
200	18
201	24
202	20
203	11
204	19
205	14
206	13
207	18
208	18
209	14
210	17
211	11
212	16
213	11
214	15
215	11
216	9
217	15
218	17
219	11
220	14
221	18
222	18
223	12
224	10
225	14
226	9
227	16
228	14
229	5
230	9
231	18
232	8
233	15
234	18
235	8
236	8
237	15
238	14
239	8
240	5
241	15
242	15
243	6
244	9
245	15
246	8
247	12
248	8
249	11
250	14
251	9
252	13
253	9
254	9
255	15
256	17
257	11
258	16
259	6
260	4
261	15
262	16
263	8
264	8
265	15
266	11
267	14
268	11
269	18
270	11
271	15
272	11
273	18
274	11
275	18
276	19
277	10
278	15
279	10
280	8
281	14
282	15
283	9
284	10
285	15
286	16
287	11
288	17
289	14
290	20
291	11
292	15
293	11
294	7
295	14
296	11
297	17
298	18
299	13
300	17
301	12
302	15
303	11
304	14
305	10
306	11
307	15
308	9
309	15
310	11
311	17
312	11
313	18
314	14
315	18
316	13
317	16
318	15
319	11
320	17
321	9
322	10
323	15
324	14
325	4
326	4
327	10
328	12
329	4
330	5
331	11
332	13
333	10
334	6
335	12
336	11
337	8
338	8
339	15
340	14
341	8
342	8
343	13
344	14
345	9
346	7
347	13
348	8
349	11
350	11
351	5
352	4
353	12
354	8
355	4
356	4
357	10
358	10
359	7
360	10
361	1
362	2
363	10
364	11
365	3
366	2
367	11
368	4
369	10
370	9
371	3
372	4
373	8
374	9
375	4
376	5
377	9
378	9
379	6
380	6
381	10
382	11
383	2
384	4
385	11
386	1
387	10
388	12
389	6
390	6
391	11
392	11
393	8
394	6
395	18
396	15
397	28
398	31
399	24
400	19
401	25
402	29
403	23
404	25
405	29
406	26
407	39
408	42
409	36
410	37
411	29
412	31
413	25
414	25
415	34
416	23
417	13
418	18
419	22
420	18
421	31
422	33
423	29
424	29
425	37
426	43
427	36
428	38
429	48
430	51
431	67
432	69
433	79
434	77
435	67
436	70
437	60
438	63
439	54
440	51
441	40
442	31
443	57
444	33
445	38
446	33
447	43
448	47
449	64
450	64
451	83
452	84
453	78
454	83
455	72
456	70
457	55
458	53
459	41
460	42
461	28
462	34
463	25
464	25
465	20
466	25
467	21
468	22
469	16
470	25
471	18
472	20
473	27
474	27
475	46
476	53
477	46
478	48
479	42
480	50
481	43
482	49
483	43
484	45
485	27
486	27
487	33
488	29
489	22
490	25
491	14
492	11
493	18
494	15
495	11
496	22
497	13
498	8
499	12
500	15
501	7
502	7
503	19
504	20
505	6
506	6
507	14
508	4
509	11
510	8
511	11
512	11
513	7
514	8
515	12
516	3
517	10
518	27
519	2
520	1
521	11
522	11
523	1
524	1
525	15
526	10
527	4
528	13
529	7
530	2
531	8
532	10
533	3
534	3
535	8
536	11
537	4
538	1
539	10
540	3
541	11
542	11
543	5
544	8
545	3
546	1
547	47
548	1
549	6
550	8
551	12
552	4
553	15
554	12
555	5
556	20
557	4
558	1
559	11
560	11
561	5
562	9
563	16
564	13
565	5
566	9
567	16
568	8
569	15
570	9
571	15
572	9
573	14
574	11
575	7
576	8
577	15
578	11
579	1
580	1
581	47
582	52
583	1
584	4
585	30
586	1
587	9
588	22
589	3
590	1
591	15
592	29
593	4
594	7
595	15
596	19
597	7
598	9
599	15

