sec,Volt,sec,ch1
DataType	DisplayMode	Points	Count	Xincrement	Xorigin	Xreference	Yincrement	Yorigin	Yreference	Channel	
5	1	600	2	0,000004	0,0016080000594	0	0,0004	0,0316	100	1
point	ch1
0	18
1	21
2	19
3	16
4	19
5	16
6	16
7	18
8	18
9	17
10	18
11	16
12	18
13	15
14	18
15	15
16	18
17	16
18	19
19	16
20	18
21	16
22	20
23	15
24	18
25	16
26	18
27	16
28	15
29	18
30	19
31	17
32	18
33	16
34	18
35	19
36	15
37	18
38	18
39	15
40	18
41	16
42	18
43	16
44	18
45	16
46	16
47	20
48	19
49	15
50	17
51	20
52	16
53	18
54	18
55	15
56	18
57	21
58	19
59	17
60	18
61	20
62	18
63	17
64	17
65	21
66	18
67	23
68	23
69	29
70	25
71	28
72	29
73	22
74	22
75	21
76	22
77	25
78	26
79	33
80	33
81	40
82	41
83	45
84	43
85	46
86	41
87	37
88	40
89	36
90	37
91	29
92	30
93	27
94	24
95	29
96	28
97	33
98	29
99	40
100	41
101	47
102	48
103	56
104	57
105	60
106	57
107	50
108	50
109	52
110	52
111	65
112	65
113	69
114	71
115	75
116	72
117	58
118	61
119	55
120	54
121	44
122	46
123	43
124	43
125	37
126	39
127	44
128	45
129	52
130	54
131	79
132	82
133	100
134	103
135	118
136	119
137	110
138	112
139	102
140	101
141	84
142	83
143	78
144	76
145	59
146	58
147	48
148	48
149	43
150	43
151	34
152	32
153	35
154	33
155	30
156	31
157	34
158	32
159	37
160	37
161	48
162	50
163	71
164	72
165	82
166	80
167	75
168	75
169	64
170	64
171	60
172	62
173	57
174	56
175	48
176	48
177	38
178	36
179	32
180	33
181	29
182	30
183	25
184	25
185	22
186	21
187	25
188	23
189	20
190	22
191	20
192	21
193	18
194	18
195	20
196	21
197	18
198	18
199	20
200	19
201	16
202	18
203	15
204	19
205	16
206	17
207	19
208	18
209	15
210	18
211	15
212	18
213	15
214	16
215	18
216	16
217	19
218	17
219	15
220	15
221	18
222	15
223	18
224	18
225	15
226	15
227	18
228	18
229	15
230	18
231	15
232	16
233	18
234	18
235	15
236	19
237	17
238	18
239	16
240	18
241	15
242	18
243	16
244	18
245	15
246	16
247	18
248	18
249	15
250	18
251	15
252	15
253	18
254	18
255	16
256	15
257	18
258	19
259	15
260	15
261	18
262	18
263	15
264	18
265	17
266	18
267	15
268	19
269	16
270	18
271	15
272	16
273	18
274	18
275	16
276	18
277	15
278	18
279	15
280	16
281	18
282	18
283	15
284	18
285	16
286	18
287	15
288	18
289	20
290	16
291	20
292	18
293	15
294	16
295	18
296	18
297	16
298	18
299	15
300	18
301	15
302	18
303	15
304	14
305	18
306	15
307	18
308	15
309	17
310	19
311	16
312	18
313	15
314	16
315	18
316	14
317	18
318	16
319	18
320	16
321	15
322	18
323	15
324	15
325	17
326	17
327	15
328	15
329	18
330	15
331	17
332	17
333	14
334	14
335	17
336	15
337	17
338	15
339	18
340	15
341	17
342	15
343	18
344	15
345	18
346	15
347	18
348	15
349	18
350	18
351	15
352	15
353	19
354	18
355	15
356	15
357	19
358	15
359	17
360	17
361	16
362	18
363	16
364	18
365	15
366	15
367	18
368	17
369	18
370	18
371	20
372	20
373	22
374	21
375	18
376	19
377	27
378	29
379	34
380	35
381	38
382	38
383	41
384	39
385	34
386	37
387	35
388	34
389	30
390	30
391	25
392	28
393	25
394	24
395	29
396	30
397	38
398	39
399	47
400	43
401	47
402	43
403	45
404	44
405	54
406	57
407	70
408	68
409	73
410	74
411	68
412	69
413	56
414	51
415	45
416	46
417	38
418	38
419	36
420	36
421	43
422	44
423	61
424	63
425	101
426	101
427	113
428	106
429	84
430	83
431	72
432	71
433	62
434	62
435	54
436	56
437	48
438	50
439	42
440	42
441	37
442	40
443	36
444	36
445	37
446	36
447	33
448	34
449	32
450	34
451	52
452	56
453	70
454	70
455	76
456	76
457	82
458	83
459	77
460	77
461	68
462	65
463	54
464	52
465	43
466	43
467	36
468	35
469	29
470	30
471	26
472	27
473	22
474	22
475	25
476	24
477	21
478	24
479	19
480	18
481	22
482	22
483	19
484	21
485	23
486	23
487	18
488	18
489	21
490	20
491	18
492	19
493	17
494	20
495	15
496	18
497	15
498	18
499	15
500	19
501	15
502	18
503	16
504	18
505	15
506	18
507	15
508	17
509	15
510	18
511	17
512	16
513	15
514	15
515	17
516	18
517	15
518	15
519	18
520	18
521	13
522	14
523	16
524	15
525	15
526	15
527	18
528	15
529	16
530	15
531	18
532	17
533	15
534	15
535	19
536	15
537	18
538	15
539	18
540	18
541	15
542	15
543	17
544	15
545	18
546	17
547	13
548	13
549	16
550	15
551	16
552	13
553	17
554	15
555	17
556	15
557	17
558	15
559	18
560	14
561	18
562	13
563	18
564	18
565	15
566	18
567	16
568	17
569	15
570	15
571	18
572	18
573	16
574	18
575	16
576	18
577	15
578	15
579	17
580	15
581	17
582	16
583	14
584	15
585	18
586	15
587	19
588	16
589	18
590	17
591	19
592	18
593	15
594	17
595	14
596	15
597	18
598	18
599	14

