Wavelength(nm)	Intensity(counts)
189.03	26.00
189.49	-15.00
189.96	-24.00
190.43	5.00
190.90	15.00
191.37	-28.00
191.84	5.00
192.31	-1.00
192.78	6.00
193.24	9.00
193.71	-5.00
194.18	9.00
194.65	16.00
195.12	-11.00
195.59	-20.00
196.06	2.00
196.52	9.00
196.99	-49.00
197.46	-2.00
197.93	-8.00
198.40	16.00
198.87	-19.00
199.34	-20.00
199.80	11.00
200.27	-13.00
200.74	-28.00
201.21	13.00
201.68	8.00
202.15	-12.00
202.61	-2.00
203.08	-29.00
203.55	17.00
204.02	-14.00
204.49	9.00
204.96	-14.00
205.42	27.00
205.89	-41.00
206.36	-36.00
206.83	11.00
207.30	21.00
207.76	-15.00
208.23	-25.00
208.70	14.00
209.17	11.00
209.64	-33.00
210.10	-39.00
210.57	5.00
211.04	4.00
211.51	-4.00
211.98	4.00
212.44	24.00
212.91	33.00
213.38	-24.00
213.85	-5.00
214.31	3.00
214.78	19.00
215.25	-32.00
215.72	-33.00
216.19	23.00
216.65	10.00
217.12	-10.00
217.59	10.00
218.06	3.00
218.52	-16.00
218.99	-20.00
219.46	-20.00
219.93	-2.00
220.39	13.00
220.86	-11.00
221.33	-24.00
221.80	6.00
222.26	-8.00
222.73	-42.00
223.20	2.00
223.66	24.00
224.13	-6.00
224.60	-19.00
225.07	-18.00
225.53	24.00
226.00	16.00
226.47	-28.00
226.94	13.00
227.40	9.00
227.87	-8.00
228.34	-21.00
228.80	-13.00
229.27	13.00
229.74	-46.00
230.21	-19.00
230.67	14.00
231.14	29.00
231.61	-17.00
232.07	-41.00
232.54	11.00
233.01	-15.00
233.47	-2.00
233.94	-16.00
234.41	-11.00
234.87	-3.00
235.34	-22.00
235.81	18.00
236.27	-15.00
236.74	8.00
237.21	1.00
237.67	13.00
238.14	7.00
238.61	17.00
239.07	-22.00
239.54	-12.00
240.01	2.00
240.47	-24.00
240.94	-31.00
241.41	-27.00
241.87	14.00
242.34	18.00
242.81	-30.00
243.27	-3.00
243.74	8.00
244.21	-25.00
244.67	-6.00
245.14	-18.00
245.60	4.00
246.07	23.00
246.54	-16.00
247.00	-6.00
247.47	15.00
247.94	-13.00
248.40	-32.00
248.87	-17.00
249.33	26.00
249.80	-28.00
250.27	-24.00
250.73	-22.00
251.20	-2.00
251.66	-33.00
252.13	-8.00
252.60	14.00
253.06	6.00
253.53	-20.00
253.99	-35.00
254.46	4.00
254.93	34.00
255.39	-15.00
255.86	4.00
256.32	9.00
256.79	23.00
257.26	-11.00
257.72	1.00
258.19	4.00
258.65	4.00
259.12	-24.00
259.58	-3.00
260.05	10.00
260.51	19.00
260.98	7.00
261.45	10.00
261.91	7.00
262.38	9.00
262.84	-24.00
263.31	-13.00
263.77	33.00
264.24	5.00
264.70	2.00
265.17	-2.00
265.63	7.00
266.10	-3.00
266.57	-2.00
267.03	2.00
267.50	33.00
267.96	20.00
268.43	-37.00
268.89	-1.00
269.36	32.00
269.82	-4.00
270.29	-27.00
270.75	-13.00
271.22	12.00
271.68	-1.00
272.15	8.00
272.61	10.00
273.08	-21.00
273.54	11.00
274.01	-20.00
274.47	-1.00
274.94	5.00
275.40	-35.00
275.87	-6.00
276.33	16.00
276.80	8.00
277.26	-17.00
277.73	-12.00
278.19	3.00
278.66	40.00
279.12	-28.00
279.59	-15.00
280.05	5.00
280.52	0.00
280.98	-20.00
281.44	-16.00
281.91	13.00
282.37	9.00
282.84	-17.00
283.30	-11.00
283.77	29.00
284.23	-4.00
284.70	13.00
285.16	-6.00
285.62	-3.00
286.09	-8.00
286.55	-7.00
287.02	-16.00
287.48	-5.00
287.95	0.00
288.41	-21.00
288.88	-3.00
289.34	21.00
289.80	-1.00
290.27	-6.00
290.73	-15.00
291.20	14.00
291.66	-20.00
292.12	20.00
292.59	9.00
293.05	12.00
293.52	-12.00
293.98	-10.00
294.44	-7.00
294.91	1.00
295.37	1.00
295.84	-21.00
296.30	-24.00
296.76	36.00
297.23	-16.00
297.69	-23.00
298.16	18.00
298.62	19.00
299.08	-20.00
299.55	9.00
300.01	13.00
300.47	-4.00
300.94	5.00
301.40	9.00
301.87	24.00
302.33	25.00
302.79	-37.00
303.26	-2.00
303.72	20.00
304.18	16.00
304.65	-27.00
305.11	7.00
305.57	2.00
306.04	-11.00
306.50	-20.00
306.96	-18.00
307.43	-2.00
307.89	8.00
308.35	-11.00
308.82	11.00
309.28	38.00
309.74	7.00
310.21	-8.00
310.67	0.00
311.13	19.00
311.60	-13.00
312.06	3.00
312.52	-9.00
312.99	27.00
313.45	-12.00
313.91	-1.00
314.38	18.00
314.84	4.00
315.30	16.00
315.76	-27.00
316.23	-3.00
316.69	-8.00
317.15	-9.00
317.62	-16.00
318.08	9.00
318.54	-6.00
319.00	-15.00
319.47	-28.00
319.93	-6.00
320.39	-3.00
320.86	3.00
321.32	5.00
321.78	-3.00
322.24	-1.00
322.71	-19.00
323.17	-19.00
323.63	-13.00
324.09	-5.00
324.56	-40.00
325.02	-29.00
325.48	-8.00
325.94	33.00
326.41	-4.00
326.87	23.00
327.33	11.00
327.79	25.00
328.26	-12.00
328.72	-22.00
329.18	34.00
329.64	20.00
330.11	-30.00
330.57	5.00
331.03	28.00
331.49	-4.00
331.95	-15.00
332.42	-19.00
332.88	-5.00
333.34	-19.00
333.80	-31.00
334.27	18.00
334.73	17.00
335.19	3.00
335.65	-10.00
336.11	2.00
336.58	0.00
337.04	-13.00
337.50	-7.00
337.96	-9.00
338.42	15.00
338.88	-1.00
339.35	16.00
339.81	5.00
340.27	-15.00
340.73	-1.00
341.19	-8.00
341.66	13.00
342.12	9.00
342.58	-8.00
343.04	-3.00
343.50	10.00
343.96	4.00
344.43	-3.00
344.89	-11.00
345.35	22.00
345.81	6.00
346.27	-17.00
346.73	13.00
347.19	27.00
347.66	13.00
348.12	14.00
348.58	-14.00
349.04	5.00
349.50	-8.00
349.96	-21.00
350.42	-7.00
350.88	8.00
351.35	-13.00
351.81	-22.00
352.27	-9.00
352.73	19.00
353.19	7.00
353.65	-5.00
354.11	-2.00
354.57	-13.00
355.04	-17.00
355.50	-24.00
355.96	13.00
356.42	-1.00
356.88	-22.00
357.34	-45.00
357.80	5.00
358.26	28.00
358.72	-2.00
359.18	-29.00
359.64	-5.00
360.11	0.00
360.57	2.00
361.03	-10.00
361.49	14.00
361.95	8.00
362.41	-23.00
362.87	-26.00
363.33	0.00
363.79	6.00
364.25	-33.00
364.71	-16.00
365.17	-6.00
365.63	2.00
366.09	-40.00
366.55	-31.00
367.01	-14.00
367.48	7.00
367.94	-31.00
368.40	-23.00
368.86	19.00
369.32	10.00
369.78	-3.00
370.24	-7.00
370.70	5.00
371.16	-25.00
371.62	-10.00
372.08	7.00
372.54	14.00
373.00	-14.00
373.46	-1.00
373.92	-33.00
374.38	17.00
374.84	8.00
375.30	-8.00
375.76	-26.00
376.22	44.00
376.68	12.00
377.14	-4.00
377.60	-5.00
378.06	7.00
378.52	-25.00
378.98	-57.00
379.44	-23.00
379.90	14.00
380.36	-46.00
380.82	-4.00
381.28	14.00
381.74	-2.00
382.20	-19.00
382.66	-9.00
383.12	-1.00
383.58	28.00
384.04	-23.00
384.50	-18.00
384.96	22.00
385.41	-10.00
385.87	0.00
386.33	7.00
386.79	-10.00
387.25	-2.00
387.71	-7.00
388.17	-27.00
388.63	17.00
389.09	-7.00
389.55	-14.00
390.01	-3.00
390.47	26.00
390.93	-20.00
391.39	-15.00
391.85	7.00
392.31	16.00
392.76	-13.00
393.22	-20.00
393.68	0.00
394.14	-7.00
394.60	-9.00
395.06	-23.00
395.52	-5.00
395.98	24.00
396.44	-1.00
396.90	-40.00
397.36	36.00
397.81	21.00
398.27	-6.00
398.73	10.00
399.19	24.00
399.65	22.00
400.11	0.00
400.57	-11.00
401.03	-20.00
401.48	14.00
401.94	-12.00
402.40	7.00
402.86	15.00
403.32	27.00
403.78	-6.00
404.24	-11.00
404.70	1.00
405.15	16.00
405.61	-23.00
406.07	-3.00
406.53	10.00
406.99	-5.00
407.45	-26.00
407.90	3.00
408.36	21.00
408.82	-36.00
409.28	-36.00
409.74	-4.00
410.20	-17.00
410.65	-1.00
411.11	20.00
411.57	-8.00
412.03	13.00
412.49	1.00
412.95	1.00
413.40	9.00
413.86	-15.00
414.32	-17.00
414.78	-8.00
415.24	-5.00
415.69	-7.00
416.15	-28.00
416.61	-3.00
417.07	-2.00
417.53	7.00
417.98	-6.00
418.44	-4.00
418.90	1.00
419.36	4.00
419.82	-11.00
420.27	-3.00
420.73	-6.00
421.19	10.00
421.65	-33.00
422.10	-9.00
422.56	-23.00
423.02	-3.00
423.48	-12.00
423.93	-6.00
424.39	21.00
424.85	27.00
425.31	2.00
425.76	-6.00
426.22	-12.00
426.68	18.00
427.14	-27.00
427.59	5.00
428.05	19.00
428.51	-4.00
428.97	-5.00
429.42	-3.00
429.88	-2.00
430.34	-5.00
430.80	-14.00
431.25	2.00
431.71	8.00
432.17	-6.00
432.62	-13.00
433.08	9.00
433.54	33.00
434.00	-1.00
434.45	-27.00
434.91	-2.00
435.37	3.00
435.82	11.00
436.28	-26.00
436.74	-22.00
437.20	35.00
437.65	4.00
438.11	4.00
438.57	14.00
439.02	4.00
439.48	-9.00
439.94	-29.00
440.39	8.00
440.85	11.00
441.31	-10.00
441.76	6.00
442.22	2.00
442.68	-8.00
443.13	9.00
443.59	-33.00
444.05	-16.00
444.50	22.00
444.96	12.00
445.42	-5.00
445.87	3.00
446.33	-5.00
446.79	-19.00
447.24	-21.00
447.70	-28.00
448.15	-1.00
448.61	-46.00
449.07	-11.00
449.52	-13.00
449.98	7.00
450.44	7.00
450.89	-16.00
451.35	2.00
451.80	0.00
452.26	-20.00
452.72	-38.00
453.17	12.00
453.63	17.00
454.08	-5.00
454.54	-15.00
455.00	3.00
455.45	-9.00
455.91	-39.00
456.36	-18.00
456.82	18.00
457.28	6.00
457.73	-18.00
458.19	19.00
458.64	25.00
459.10	7.00
459.56	-33.00
460.01	-29.00
460.47	-17.00
460.92	-33.00
461.38	-9.00
461.83	-17.00
462.29	15.00
462.75	4.00
463.20	10.00
463.66	-1.00
464.11	-5.00
464.57	-20.00
465.02	-8.00
465.48	-19.00
465.93	-12.00
466.39	-15.00
466.84	-20.00
467.30	9.00
467.76	-22.00
468.21	-21.00
468.67	-31.00
469.12	-19.00
469.58	-19.00
470.03	-8.00
470.49	-15.00
470.94	13.00
471.40	18.00
471.85	-9.00
472.31	-3.00
472.76	-9.00
473.22	-10.00
473.67	-21.00
474.13	-25.00
474.58	15.00
475.04	-11.00
475.49	-3.00
475.95	7.00
476.40	25.00
476.86	-14.00
477.31	-27.00
477.77	7.00
478.22	-16.00
478.68	-21.00
479.13	-9.00
479.59	10.00
480.04	10.00
480.50	-16.00
480.95	7.00
481.41	-19.00
481.86	17.00
482.31	-43.00
482.77	14.00
483.22	-12.00
483.68	-15.00
484.13	-21.00
484.59	-48.00
485.04	-20.00
485.50	9.00
485.95	-10.00
486.40	4.00
486.86	-41.00
487.31	-21.00
487.77	-3.00
488.22	-7.00
488.68	-7.00
489.13	-7.00
489.58	12.00
490.04	-13.00
490.49	-10.00
490.95	9.00
491.40	-31.00
491.86	-35.00
492.31	-14.00
492.76	-7.00
493.22	14.00
493.67	4.00
494.13	-11.00
494.58	-19.00
495.03	-15.00
495.49	-28.00
495.94	18.00
496.39	-7.00
496.85	-10.00
497.30	-4.00
497.76	17.00
498.21	18.00
498.66	24.00
499.12	-17.00
499.57	3.00
500.02	-16.00
500.48	-44.00
500.93	-12.00
501.39	-2.00
501.84	-6.00
502.29	-10.00
502.75	4.00
503.20	8.00
503.65	8.00
504.11	16.00
504.56	-34.00
505.01	17.00
505.47	-3.00
505.92	-6.00
506.37	19.00
506.83	8.00
507.28	6.00
507.73	5.00
508.19	-10.00
508.64	0.00
509.09	-26.00
509.55	-31.00
510.00	-18.00
510.45	-23.00
510.90	-10.00
511.36	-7.00
511.81	24.00
512.26	27.00
512.72	-28.00
513.17	-17.00
513.62	34.00
514.08	6.00
514.53	8.00
514.98	-13.00
515.43	7.00
515.89	-29.00
516.34	-5.00
516.79	5.00
517.25	-7.00
517.70	-11.00
518.15	-9.00
518.60	-16.00
519.06	-2.00
519.51	-8.00
519.96	15.00
520.41	5.00
520.87	-6.00
521.32	-12.00
521.77	-16.00
522.22	7.00
522.68	9.00
523.13	11.00
523.58	35.00
524.03	-18.00
524.49	-15.00
524.94	-2.00
525.39	-27.00
525.84	-10.00
526.29	6.00
526.75	-3.00
527.20	-17.00
527.65	5.00
528.10	-9.00
528.56	-28.00
529.01	-41.00
529.46	5.00
529.91	21.00
530.36	-16.00
530.82	3.00
531.27	-5.00
531.72	14.00
532.17	-18.00
532.62	-13.00
533.08	-27.00
533.53	-5.00
533.98	-29.00
534.43	-20.00
534.88	5.00
535.33	-3.00
535.79	4.00
536.24	-3.00
536.69	9.00
537.14	-21.00
537.59	13.00
538.04	-28.00
538.50	15.00
538.95	0.00
539.40	-3.00
539.85	-24.00
540.30	-19.00
540.75	-2.00
541.21	-5.00
541.66	11.00
542.11	-18.00
542.56	-36.00
543.01	-16.00
543.46	-7.00
543.91	3.00
544.36	-17.00
544.82	-11.00
545.27	-12.00
545.72	-10.00
546.17	-22.00
546.62	35.00
547.07	8.00
547.52	-7.00
547.97	-15.00
548.43	-32.00
548.88	13.00
549.33	0.00
549.78	-27.00
550.23	-45.00
550.68	-8.00
551.13	13.00
551.58	-9.00
552.03	-14.00
552.48	-1.00
552.93	-28.00
553.39	5.00
553.84	22.00
554.29	-5.00
554.74	-21.00
555.19	-30.00
555.64	9.00
556.09	-11.00
556.54	0.00
556.99	-24.00
557.44	-15.00
557.89	20.00
558.34	25.00
558.79	8.00
559.24	31.00
559.69	-6.00
560.14	-23.00
560.59	-26.00
561.04	19.00
561.50	10.00
561.95	-13.00
562.40	-41.00
562.85	7.00
563.30	5.00
563.75	1.00
564.20	-16.00
564.65	-3.00
565.10	9.00
565.55	-27.00
566.00	-27.00
566.45	-23.00
566.90	-29.00
567.35	-21.00
567.80	-13.00
568.25	-6.00
568.70	-22.00
569.15	-1.00
569.60	-16.00
570.05	1.00
570.50	-6.00
570.95	-12.00
571.40	-28.00
571.85	-11.00
572.30	6.00
572.75	-6.00
573.20	8.00
573.65	-6.00
574.09	3.00
574.54	1.00
574.99	-26.00
575.44	-11.00
575.89	-20.00
576.34	-24.00
576.79	5.00
577.24	0.00
577.69	17.00
578.14	-20.00
578.59	-14.00
579.04	26.00
579.49	-17.00
579.94	-35.00
580.39	20.00
580.84	-26.00
581.29	-44.00
581.74	-42.00
582.18	-37.00
582.63	-26.00
583.08	-27.00
583.53	-31.00
583.98	-59.00
584.43	-68.00
584.88	-71.00
585.33	-30.00
585.78	-33.00
586.23	-16.00
586.68	-133.00
587.12	-109.00
587.57	-58.00
588.02	-14.00
588.47	-31.00
588.92	-28.00
589.37	-23.00
589.82	-34.00
590.27	-19.00
590.71	-26.00
591.16	-11.00
591.61	3.00
592.06	-37.00
592.51	-30.00
592.96	-18.00
593.41	-45.00
593.86	-92.00
594.30	-33.00
594.75	-4.00
595.20	-27.00
595.65	-21.00
596.10	-12.00
596.55	-2.00
596.99	-34.00
597.44	-29.00
597.89	-1.00
598.34	-4.00
598.79	1.00
599.24	-10.00
599.68	-5.00
600.13	-18.00
600.58	-24.00
601.03	-17.00
601.48	-1.00
601.93	3.00
602.37	-51.00
602.82	3.00
603.27	-1.00
603.72	-39.00
604.17	16.00
604.61	-8.00
605.06	10.00
605.51	16.00
605.96	-1.00
606.40	-43.00
606.85	-56.00
607.30	-30.00
607.75	-46.00
608.20	-52.00
608.64	-109.00
609.09	-139.00
609.54	-101.00
609.99	-63.00
