sec,Volt,sec,ch1f
DataType	DisplayMode	Points	Count	Xincrement	Xorigin	Xreference	Yincrement	Yorigin	Yreference	Channel	
5	1	600	2	0,000004	0,00088800005942	0	0,0008	0,076	100	1
point	ch1
0	2
1	5
2	8
3	1
4	3
5	6
6	6
7	2
8	3
9	6
10	7
11	2
12	3
13	5
14	4
15	4
16	4
17	5
18	4
19	5
20	4
21	6
22	5
23	8
24	8
25	11
26	11
27	13
28	12
29	14
30	13
31	10
32	11
33	8
34	9
35	8
36	8
37	5
38	7
39	5
40	4
41	6
42	6
43	4
44	5
45	3
46	5
47	3
48	4
49	2
50	4
51	3
52	3
53	4
54	4
55	2
56	4
57	2
58	3
59	8
60	2
61	4
62	4
63	1
64	2
65	4
66	4
67	1
68	2
69	4
70	4
71	2
72	2
73	4
74	4
75	2
76	4
77	2
78	4
79	3
80	4
81	3
82	4
83	2
84	4
85	3
86	4
87	2
88	2
89	4
90	4
91	1
92	7
93	1
94	1
95	6
96	4
97	1
98	1
99	7
100	1
101	3
102	7
103	1
104	1
105	3
106	5
107	2
108	1
109	4
110	4
111	1
112	1
113	4
114	4
115	1
116	4
117	1
118	3
119	2
120	4
121	2
122	2
123	1
124	1
125	10
126	1
127	4
128	8
129	1
130	1
131	7
132	6
133	1
134	1
135	6
136	1
137	3
138	7
139	1
140	1
141	3
142	4
143	1
144	1
145	3
146	4
147	1
148	2
149	3
150	4
151	1
152	4
153	1
154	1
155	7
156	7
157	1
158	2
159	4
160	1
161	3
162	4
163	2
164	1
165	4
166	1
167	3
168	2
169	4
170	2
171	4
172	4
173	2
174	4
175	1
176	2
177	4
178	3
179	2
180	2
181	4
182	2
183	4
184	4
185	2
186	3
187	4
188	3
189	1
190	4
191	2
192	2
193	4
194	4
195	3
196	3
197	4
198	4
199	2
200	4
201	2
202	4
203	3
204	3
205	4
206	3
207	4
208	3
209	4
210	4
211	4
212	5
213	3
214	4
215	4
216	5
217	3
218	4
219	8
220	5
221	3
222	4
223	6
224	6
225	4
226	7
227	5
228	6
229	9
230	8
231	9
232	9
233	11
234	11
235	15
236	15
237	21
238	22
239	46
240	51
241	94
242	97
243	118
244	120
245	132
246	133
247	136
248	133
249	123
250	121
251	107
252	104
253	83
254	82
255	73
256	71
257	51
258	49
259	40
260	39
261	33
262	33
263	29
264	29
265	23
266	22
267	18
268	21
269	16
270	15
271	13
272	14
273	11
274	11
275	10
276	9
277	10
278	8
279	10
280	8
281	6
282	11
283	4
284	4
285	7
286	7
287	5
288	5
289	8
290	6
291	5
292	6
293	4
294	4
295	5
296	5
297	4
298	5
299	3
300	4
301	3
302	4
303	5
304	4
305	3
306	3
307	5
308	4
309	3
310	4
311	3
312	4
313	3
314	4
315	3
316	6
317	1
318	2
319	8
320	8
321	1
322	2
323	7
324	3
325	1
326	3
327	4
328	1
329	4
330	4
331	3
332	4
333	2
334	4
335	3
336	4
337	2
338	4
339	2
340	2
341	4
342	2
343	4
344	2
345	4
346	1
347	6
348	8
349	1
350	2
351	5
352	2
353	4
354	4
355	2
356	3
357	5
358	6
359	4
360	4
361	7
362	5
363	10
364	11
365	11
366	11
367	12
368	12
369	10
370	11
371	8
372	7
373	9
374	8
375	7
376	7
377	4
378	4
379	8
380	4
381	1
382	8
383	2
384	1
385	3
386	5
387	1
388	2
389	4
390	4
391	1
392	3
393	1
394	3
395	1
396	1
397	4
398	3
399	1
400	3
401	1
402	3
403	1
404	1
405	4
406	1
407	3
408	3
409	1
410	1
411	3
412	2
413	3
414	3
415	1
416	1
417	3
418	3
419	1
420	3
421	2
422	4
423	2
424	2
425	4
426	3
427	1
428	3
429	1
430	1
431	4
432	1
433	2
434	1
435	3
436	3
437	1
438	1
439	2
440	1
441	2
442	1
443	3
444	1
445	3
446	4
447	1
448	1
449	3
450	1
451	2
452	1
453	2
454	3
455	1
456	1
457	2
458	1
459	2
460	2
461	1
462	1
463	2
464	1
465	2
466	1
467	2
468	1
469	2
470	1
471	2
472	1
473	3
474	1
475	1
476	1
477	3
478	1
479	2
480	2
481	1
482	1
483	3
484	1
485	3
486	1
487	4
488	1
489	2
490	2
491	1
492	1
493	2
494	2
495	1
496	4
497	1
498	3
499	1
500	2
501	1
502	1
503	3
504	1
505	3
506	3
507	1
508	1
509	2
510	2
511	1
512	1
513	3
514	1
515	3
516	1
517	3
518	1
519	3
520	1
521	3
522	1
523	3
524	4
525	1
526	3
527	1
528	1
529	2
530	2
531	3
532	3
533	1
534	1
535	4
536	1
537	3
538	2
539	4
540	1
541	4
542	4
543	1
544	2
545	4
546	4
547	2
548	3
549	4
550	5
551	3
552	4
553	6
554	6
555	4
556	6
557	9
558	8
559	11
560	9
561	17
562	18
563	33
564	34
565	72
566	76
567	120
568	123
569	135
570	133
571	125
572	122
573	100
574	96
575	75
576	74
577	57
578	54
579	40
580	39
581	29
582	28
583	22
584	22
585	17
586	17
587	14
588	14
589	11
590	11
591	8
592	8
593	10
594	8
595	7
596	8
597	5
598	7
599	5

