Data Point Listing of File C:\Documents and Settings\NMR\Desktop\FPraktikum\2021\16122021\centerfrquency-1.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	kHz
-179.967	-4867.672	1250.000
6464.756	379.730	1247.559
-4231.143	-790.354	1245.117
-4421.492	2739.574	1242.676
-7787.605	6034.732	1240.234
-4411.078	-1973.474	1237.793
-3112.367	-6920.689	1235.352
4330.094	-2390.441	1232.910
316.000	3533.732	1230.469
1041.000	-2434.788	1228.027
-4397.723	3057.982	1225.586
-5043.000	-9881.391	1223.145
1701.732	-5331.566	1220.703
959.385	-7345.221	1218.262
405.159	3258.434	1215.820
5534.392	-6655.238	1213.379
8496.334	5164.902	1210.938
-1176.470	5008.266	1208.496
-3259.906	5745.668	1206.055
822.113	-2622.873	1203.613
-996.768	5118.327	1201.172
-1851.348	-3799.291	1198.730
-1164.732	3504.570	1196.289
-2396.633	-6203.248	1193.848
-3396.766	-2951.773	1191.406
648.234	714.699	1188.965
1070.980	-6040.152	1186.523
-7983.973	-4659.492	1184.082
-5211.366	9439.090	1181.641
312.360	5178.129	1179.199
106.574	1827.668	1176.758
-6895.199	4065.465	1174.316
-5728.930	-216.578	1171.875
-12076.125	-2189.762	1169.434
-710.336	2317.887	1166.992
-7479.688	7643.123	1164.551
-3455.898	4399.732	1162.109
-1620.352	-3145.326	1159.668
-5306.156	2806.040	1157.227
8007.922	1741.242	1154.785
4756.266	3910.230	1152.344
-4793.609	-100.324	1149.902
8787.016	-6808.293	1147.461
6934.375	4932.031	1145.020
1597.109	-3441.547	1142.578
-6955.625	-1253.656	1140.137
-3343.438	-2980.578	1137.695
-2852.305	-11784.547	1135.254
443.504	6535.344	1132.813
3307.168	949.438	1130.371
-2185.664	-5197.563	1127.930
199.242	-1847.828	1125.488
-1631.672	1155.297	1123.047
-3915.359	4161.484	1120.605
959.266	3394.156	1118.164
1562.000	-4301.008	1115.723
3282.563	-6154.793	1113.281
-4095.422	1094.824	1110.840
5415.000	10637.242	1108.398
1047.828	-3137.684	1105.957
1178.555	-6348.977	1103.516
-301.070	5082.934	1101.074
342.250	-1858.242	1098.633
946.766	3446.574	1096.191
-10546.871	7490.648	1093.750
5493.977	3122.891	1091.309
-7168.746	8554.582	1088.867
1596.896	-35.453	1086.426
-8890.721	-9768.023	1083.984
-682.551	-6445.973	1081.543
-128.924	-8913.643	1079.102
8665.701	5704.059	1076.660
-136.653	-1482.191	1074.219
10401.949	3883.143	1071.777
3462.840	1159.540	1069.336
-665.691	10722.848	1066.895
-2882.030	-3574.111	1064.453
4062.566	4987.721	1062.012
608.253	-4736.509	1059.570
-2666.368	3466.327	1057.129
-2962.209	-152.204	1054.688
-147.866	933.016	1052.246
-6114.057	3170.330	1049.805
-1290.400	580.939	1047.363
-236.480	3079.146	1044.922
9351.268	3338.302	1042.480
3066.114	-1075.940	1040.039
2808.571	7328.740	1037.598
-1204.797	-2296.141	1035.156
760.774	-2272.728	1032.715
-9383.621	-10741.506	1030.273
1663.293	-53.787	1027.832
108.698	808.037	1025.391
-1625.162	2372.680	1022.949
1916.867	3718.020	1020.508
1859.169	952.323	1018.066
4724.724	3436.900	1015.625
-236.554	359.559	1013.184
-3448.114	4781.897	1010.742
932.865	1684.983	1008.301
2753.968	1851.567	1005.859
-3336.007	3044.625	1003.418
-5331.816	-8786.433	1000.977
3469.783	-1891.772	998.535
-524.715	-1483.807	996.094
2898.746	11880.369	993.652
2460.299	1914.681	991.211
3498.715	1224.039	988.770
5035.060	-6776.948	986.328
-7221.194	2031.835	983.887
3498.507	3024.751	981.445
3549.058	3317.043	979.004
339.011	-6969.975	976.563
2468.405	-6207.710	974.121
3215.820	-720.376	971.680
456.158	4974.832	969.238
-4986.129	-4936.152	966.797
-578.354	500.946	964.355
-2893.674	-1136.509	961.914
-1152.799	9639.280	959.473
-3465.319	350.935	957.031
4270.837	-6314.375	954.590
-2983.096	-4793.793	952.148
-3970.990	-2909.268	949.707
2127.179	-1295.504	947.266
-1795.403	-4739.917	944.824
-2570.889	2901.717	942.383
1518.115	6732.813	939.941
7479.871	5255.497	937.500
1184.720	-3757.089	935.059
-7171.873	-5903.292	932.617
18.205	1222.922	930.176
2101.794	-1024.791	927.734
3729.147	2274.269	925.293
-3203.371	585.190	922.852
-14443.601	-3137.854	920.410
1521.453	17037.340	917.969
-858.405	-5435.073	915.527
853.511	-7052.195	913.086
4266.201	8584.391	910.645
-372.268	1277.754	908.203
2989.462	1822.652	905.762
-243.614	-4474.593	903.320
808.432	1390.135	900.879
1417.472	3866.459	898.438
-7927.916	-3129.654	895.996
-4526.694	2279.240	893.555
-25.147	3961.723	891.113
2370.721	4283.144	888.672
-1092.450	2159.103	886.230
9071.574	3732.113	883.789
-441.920	-6184.367	881.348
2459.619	-1081.506	878.906
8815.485	-1957.833	876.465
2165.641	8897.574	874.023
5280.202	-4642.353	871.582
5083.992	-6471.646	869.141
117.521	8566.970	866.699
-4277.020	3018.592	864.258
-4492.956	-10911.474	861.816
9429.605	6705.768	859.375
3319.299	-9427.271	856.934
450.660	1489.480	854.492
3131.389	3895.432	852.051
-10850.047	-7233.075	849.609
-2766.893	3795.530	847.168
4812.196	-7873.971	844.727
1860.396	8724.814	842.285
10385.432	6002.644	839.844
-4530.816	4520.392	837.402
2266.627	8186.981	834.961
-4414.307	2130.430	832.520
1012.256	929.056	830.078
-7722.900	-990.384	827.637
7461.881	2102.916	825.195
-7737.643	-5049.682	822.754
-1976.448	6832.669	820.313
4304.042	5091.398	817.871
5166.794	-5663.096	815.430
3018.673	-9691.671	812.988
-8101.901	-4355.879	810.547
