Data Source:	T1-first.tnt	Time:	12/16/2021 13:40

P1 = 0.000000 ± -1.#IND00  P2 = 1279218.767161 ± 222544.80  P3 = 1.000000 ± -1.#J
[p1]:		[p2]:		[p3]:	
X	Y	Y-Fit

0.000000	475638.226279	-1279218.767161
0.000100	760284.614915	1279218.767161
0.000200	943798.763382	1279218.767161
0.000300	1045766.342597	1279218.767161
0.000400	1105779.055777	1279218.767161
0.000500	1165802.165867	1279218.767161
0.000600	1205987.413409	1279218.767161
0.000700	1244881.591509	1279218.767161
0.000800	1255204.000954	1279218.767161
0.000900	1279218.767161	1279218.767161
