[p1]:		[p2]:		[p3]:	
X	Y	Y-Fit

10.000000	609291.579205	403838.344342
7.000000	639246.996089	403838.344342
4.000000	636636.032151	403838.344342
2.000000	615093.159936	403838.344342
1.000000	592614.356735	403838.344342
0.500000	529212.804683	403838.344342
0.250000	451078.770590	403838.344342
0.200000	430260.077851	403838.344342
1.500000	609117.195394	403838.344342
0.100000	351065.595963	403838.344342
0.075000	314449.680610	403838.344342
0.050000	290161.913149	403838.344342
0.025000	235052.873337	403838.344342
0.010000	218319.548923	403838.344342
