Data Point Listing of File C:\Documents and Settings\NMR\Desktop\FPraktikum\2021\16122021\centerfrquency-1.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	kHz
27.156	938.750	1250.000
-9041.750	407.625	1247.559
-3690.625	1281.813	1245.117
-10668.500	-3127.875	1242.676
-378.125	-1843.031	1240.234
-7798.750	-774.535	1237.793
1521.375	-7102.188	1235.352
-2344.625	699.875	1232.910
-9085.063	-2651.063	1230.469
6826.281	-1305.406	1228.027
1745.375	7192.531	1225.586
-4265.688	-4092.875	1223.145
-304.844	2537.281	1220.703
-5253.820	79.000	1218.262
5849.354	2521.281	1215.820
-5595.361	3184.313	1213.379
-4583.430	-4958.797	1210.938
-5608.875	-3671.031	1208.496
-6170.813	-5280.375	1206.055
1154.172	-8255.000	1203.613
-2599.289	-5409.625	1201.172
2830.332	-4739.238	1198.730
1248.484	4775.984	1196.289
-2282.072	-7188.010	1193.848
-6996.648	-2271.527	1191.406
-1071.863	8066.827	1188.965
-7810.369	845.065	1186.523
1578.566	3342.043	1184.082
1543.010	-4606.851	1181.641
1002.215	-4262.565	1179.199
-3889.344	11511.346	1176.758
-1995.777	-397.217	1174.316
-7427.020	-1820.369	1171.875
654.344	-1485.896	1169.434
876.863	6913.715	1166.992
-57.016	-4039.965	1164.551
-3794.641	5928.486	1162.109
4137.891	3079.465	1159.668
1929.828	5034.684	1157.227
3100.137	-5587.273	1154.785
-3285.082	-1226.281	1152.344
-5739.049	-7297.572	1149.902
-6808.242	-3624.346	1147.461
2200.139	-9316.209	1145.020
-13340.549	-6870.244	1142.578
-9681.553	-2807.447	1140.137
-4170.211	5049.428	1137.695
-2027.823	-269.053	1135.254
-4427.957	-6379.512	1132.813
-3637.999	18.381	1130.371
-7747.656	-8420.174	1127.930
3275.345	1536.365	1125.488
-2221.705	-1429.910	1123.047
4842.892	-3969.783	1120.605
5392.715	1849.145	1118.164
1759.537	7090.276	1115.723
-3047.408	2202.406	1113.281
4780.046	-8649.280	1110.840
450.973	-1900.649	1108.398
1387.748	-5883.482	1105.957
1046.805	2614.880	1103.516
-1029.945	-10457.566	1101.074
-1168.348	-931.209	1098.633
1478.896	-6509.101	1096.191
-2775.731	-5701.404	1093.750
-12665.361	4861.121	1091.309
-3433.633	9195.493	1088.867
-5773.500	6139.171	1086.426
-2324.244	1868.561	1083.984
41.711	-1805.387	1081.543
660.476	2688.956	1079.102
7273.448	104.171	1076.660
-7682.480	6654.171	1074.219
-1968.578	1390.127	1071.777
-9092.008	3310.326	1069.336
7781.811	3725.423	1066.895
-1446.750	3323.050	1064.453
-5275.629	-2513.908	1062.012
-1012.401	-1001.990	1059.570
-3352.135	8999.252	1057.129
2060.858	11778.109	1054.688
-7045.750	1557.348	1052.246
-1802.336	-6688.808	1049.805
-9979.930	-1895.864	1047.363
-3834.176	-2991.725	1044.922
-2855.931	6060.031	1042.480
-575.422	-1914.902	1040.039
1407.428	-1029.437	1037.598
4525.961	5832.370	1035.156
-6829.161	-12698.224	1032.715
248.654	-1315.078	1030.273
961.295	-2667.992	1027.832
2755.103	-8249.713	1025.391
-5816.580	6093.859	1022.949
-2397.834	-1884.625	1020.508
-9467.316	3201.001	1018.066
-11091.168	-8275.379	1015.625
-2370.066	4.817	1013.184
6842.024	-3845.135	1010.742
-2242.387	7003.025	1008.301
-2019.953	5745.917	1005.859
-8764.252	474.736	1003.418
-11516.111	2956.586	1000.977
-4806.716	5946.039	998.535
4208.158	-1928.597	996.094
-3288.806	5001.716	993.652
-7967.887	8231.843	991.211
4537.130	24.838	988.770
-913.646	-931.086	986.328
-4946.219	-6516.208	983.887
-3647.443	14779.570	981.445
-1866.073	1557.562	979.004
-9213.410	108.010	976.563
-5810.804	-3791.459	974.121
-5993.405	2150.911	971.680
-2817.779	2555.815	969.238
-8594.594	-2387.544	966.797
-7105.088	1984.361	964.355
-8625.676	696.261	961.914
3924.389	-849.514	959.473
-1311.032	2882.849	957.031
-4687.172	1353.873	954.590
-6210.030	1985.116	952.148
-4016.406	-3395.220	949.707
5832.626	8434.836	947.266
-1882.776	-3902.150	944.824
-6360.933	1372.065	942.383
-9078.404	629.911	939.941
-626.632	4307.830	937.500
-1210.582	-6380.125	935.059
3729.870	-3662.519	932.617
-7799.429	3222.080	930.176
-979.104	-6332.460	927.734
-2990.400	-1679.329	925.293
-4463.933	-2213.445	922.852
-2197.631	777.598	920.410
-5534.224	2955.778	917.969
2073.393	-1240.477	915.527
-9628.948	6089.426	913.086
-381.288	1503.581	910.645
-2980.967	-6596.874	908.203
-5177.630	12082.999	905.762
496.730	-5988.771	903.320
842.188	5432.531	900.879
-3963.800	-114.298	898.438
-6648.025	-2030.408	895.996
-8012.295	4716.233	893.555
-1727.951	5762.867	891.113
-12578.482	-9113.402	888.672
-3515.666	1466.026	886.230
-5458.637	2671.757	883.789
-2138.172	10705.459	881.348
-917.873	-293.824	878.906
2562.591	-1566.799	876.465
3769.183	306.575	874.023
6039.040	288.135	871.582
9559.907	-138.617	869.141
-5408.326	-7013.749	866.699
-6471.121	-3026.873	864.258
-2626.212	10294.301	861.816
-332.065	-9489.156	859.375
-6523.042	2999.910	856.934
-2485.646	4281.646	854.492
1975.032	345.676	852.051
-2685.688	-3629.103	849.609
-8600.858	745.861	847.168
-4064.534	324.529	844.727
564.426	-5643.206	842.285
475.701	7729.712	839.844
-8140.498	2914.426	837.402
-5868.715	1362.059	834.961
-3729.714	6980.964	832.520
-241.273	4723.750	830.078
-2644.757	1630.437	827.637
-871.393	7044.127	825.195
-9404.109	4871.854	822.754
-3556.419	3420.070	820.313
-11950.606	578.383	817.871
-2784.997	-202.020	815.430
-4200.937	2700.881	812.988
491.793	6757.970	810.547
-3875.046	2933.425	808.105
-10959.106	773.143	805.664
-3717.261	-4298.908	803.223
-8114.191	2762.920	800.781
-14572.758	-1291.181	798.340
850.172	-10248.920	795.898
-10784.939	5033.560	793.457
-13704.277	7869.709	791.016
734.550	4018.808	788.574
-571.176	8476.736	786.133
-14963.488	1099.670	783.691
-8036.217	6874.854	781.250
-2594.932	11057.508	778.809
-540.239	4816.271	776.367
-6526.099	2047.673	773.926
-2116.649	10503.719	771.484
2563.155	17.470	769.043
-2790.230	15851.840	766.602
-10260.138	5852.670	764.160
-13526.865	837.906	761.719
-7994.833	1100.051	759.277
-490.310	6501.781	756.836
-7267.054	2020.382	754.395
-1982.769	6904.457	751.953
-3352.861	-3087.335	749.512
472.769	14109.705	747.070
-6090.207	-2733.023	744.629
1680.630	-2315.452	742.188
-7765.827	2541.827	739.746
-2601.176	8161.016	737.305
-7111.624	2250.076	734.863
-6886.905	-6834.644	732.422
-12269.953	1535.545	729.980
-1886.160	2367.405	727.539
-9928.916	7.301	725.098
-7005.882	9072.809	722.656
-13931.023	-3238.043	720.215
-7448.159	2627.309	717.773
-10838.479	-321.320	715.332
-10591.482	-8921.525	712.891
-10499.364	-3453.625	710.449
-72.351	-5385.942	708.008
-11186.072	9470.216	705.566
-5096.753	-6416.180	703.125
-8586.827	-5283.665	700.684
-5328.177	9528.814	698.242
-19205.543	3159.016	695.801
-5859.889	2184.027	693.359
-4445.294	-4713.047	690.918
-16734.574	11990.167	688.477
-13018.045	195.741	686.035
10458.720	-3938.412	683.594
5056.663	835.987	681.152
-9827.770	-4313.796	678.711
-9388.618	8518.043	676.270
-7012.681	6523.845	673.828
-9349.680	7897.250	671.387
-9662.916	2709.414	668.945
-6747.137	17722.867	666.504
-3961.687	445.844	664.063
-8094.785	10373.180	661.621
-8359.619	11944.856	659.180
-1349.900	3858.120	656.738
-6485.144	6619.897	654.297
-11333.836	1879.307	651.855
-6318.748	7160.728	649.414
-8382.917	22852.404	646.973
-6292.801	-4918.681	644.531
-10027.928	18526.363	642.090
-4391.151	7703.217	639.648
-15740.216	-3315.256	637.207
-4353.901	2556.082	634.766
-16415.199	5874.149	632.324
-12207.592	6895.271	629.883
-5697.276	6061.315	627.441
2345.094	-6528.578	625.000
-11357.140	5503.074	622.559
-7770.298	5989.145	620.117
-4325.461	6613.522	617.676
-304.063	4.420	615.234
-15772.024	-6849.371	612.793
-9895.685	-3232.102	610.352
-5374.657	9974.640	607.910
-19216.207	6655.417	605.469
-21220.566	-3061.252	603.027
-8366.613	-2591.184	600.586
-747.165	9166.597	598.145
