Data Source:	T1-first.tnt	Time:	12/16/2021 13:32

P1 = 0.000000 ± 1.#QNAN0 
[p1]:		[p2]:		[p3]:	
X	Y	Y-Fit

0.000000	475638.226279	1.#QNAN0
0.100000	760284.614915	0.000000
0.200000	943798.763382	0.000000
0.300000	1045766.342597	0.000000
0.400000	1105779.055777	0.000000
0.500000	1165802.165867	0.000000
0.600000	1205987.413409	0.000000
0.700000	1244881.591509	0.000000
0.800000	1255204.000954	0.000000
0.900000	1279218.767161	0.000000
1.000000	1301680.944739	0.000000
1.100000	1304530.048044	0.000000
1.200000	1311831.296395	0.000000
1.300000	1330123.875798	0.000000
1.400000	1333185.995735	0.000000
1.500000	1333278.725340	0.000000
1.600000	1344870.327819	0.000000
1.700000	1340060.048127	0.000000
1.800000	1353943.504819	0.000000
1.900000	1377729.041274	0.000000
2.000000	1363689.470956	0.000000
2.100000	1366152.365930	0.000000
2.200000	1388216.284758	0.000000
2.300000	1380201.020747	0.000000
2.400000	1365638.532286	0.000000
2.500000	1374870.800809	0.000000
2.600000	1381689.583264	0.000000
2.700000	1386915.177257	0.000000
2.800000	1383078.599028	0.000000
2.900000	1387212.131675	0.000000
3.000000	1380364.148618	0.000000
3.100000	1373270.308727	0.000000
3.200000	1386075.717580	0.000000
3.300000	1396402.451984	0.000000
3.400000	1388823.676737	0.000000
3.500000	1383587.654972	0.000000
3.600000	1384090.603604	0.000000
3.700000	1392030.161082	0.000000
3.800000	1403919.980236	0.000000
3.900000	1387575.336034	0.000000
4.000000	1388969.446168	0.000000
4.100000	1406336.620384	0.000000
4.200000	1386694.140173	0.000000
4.300000	1401408.977447	0.000000
4.400000	1400705.375286	0.000000
4.500000	1381380.524635	0.000000
4.600000	1383301.500107	0.000000
4.700000	1389205.695748	0.000000
4.800000	1404912.840874	0.000000
4.900000	1402334.183200	0.000000
5.000000	482397.380810	0.000000
5.100000	778984.717132	0.000000
5.200000	932351.044155	0.000000
5.300000	1052085.454272	0.000000
5.400000	1125886.368768	0.000000
5.500000	1167846.739783	0.000000
5.600000	1209359.849286	0.000000
5.700000	1227569.545400	0.000000
5.800000	1261000.737580	0.000000
5.900000	1296741.179561	0.000000
6.000000	1287255.525804	0.000000
6.100000	1315417.825522	0.000000
6.200000	1328530.956969	0.000000
6.300000	1337261.226575	0.000000
6.400000	1347429.120000	0.000000
6.500000	1323268.782270	0.000000
6.600000	1335297.030514	0.000000
6.700000	1346691.851436	0.000000
6.800000	1379060.493245	0.000000
6.900000	1355722.592103	0.000000
7.000000	1375939.718546	0.000000
7.100000	1365679.019732	0.000000
7.200000	1373707.390619	0.000000
7.300000	1371417.438456	0.000000
7.400000	1358008.069910	0.000000
7.500000	1397420.748603	0.000000
7.600000	1381697.118848	0.000000
7.700000	1395953.798712	0.000000
7.800000	1399319.774531	0.000000
7.900000	1393113.752775	0.000000
8.000000	1391997.564484	0.000000
8.100000	1392526.314202	0.000000
8.200000	1400775.068300	0.000000
8.300000	1404637.313320	0.000000
8.400000	1389881.641810	0.000000
8.500000	1396178.793446	0.000000
8.600000	1381356.651674	0.000000
8.700000	1392034.392644	0.000000
8.800000	1406689.019172	0.000000
8.900000	1383632.884636	0.000000
9.000000	1407588.678525	0.000000
9.100000	1383262.087162	0.000000
9.200000	1393653.660544	0.000000
9.300000	1415337.606451	0.000000
9.400000	1388283.136289	0.000000
9.500000	1390181.027666	0.000000
9.600000	1384785.208740	0.000000
9.700000	1379424.793851	0.000000
9.800000	1389002.345593	0.000000
9.900000	1382291.257533	0.000000
